,Info,Name-PGN-Site,PGN File,NameForJSON,First Name,Last Name,Wiki-FirstName,Wiki Name,Birth Date,Death Date,Year Grandmaster,Country,Wikipedia Page,Name For Wiki Search,Wikipedia Search Link,Wiki Search Results,First Wiki Result,wiki_url,wiki_summary,Wiki Page Title
11,"Levon Aronian, 2313 games",Levon Aronian,Aronian.pgn,Aronian,Levon,Aronian,Levon,Levon Aronian ,1982-10-06,,2001-01-01, Armenia,,Levon+Aronian+chess,https://en.wikipedia.org/w/index.php?search=Levon+Aronian+chess,"['Levon Aronian', 'Levon', 'Tal Memorial', 'Tata Steel Chess Tournament', 'Amber chess tournament', 'Zurich Chess Challenge', 'Norway Chess', 'Bilbao Chess Masters Final', 'Melikset Khachiyan', 'Sinquefield Cup']",Levon Aronian,https://en.wikipedia.org/wiki/Levon_Aronian,"Levon Grigori Aronian (Armenian: Լևոն Գրիգորի Արոնյան; born 6 October 1982) is an Armenian chess Grandmaster. On the March 2014 FIDE rating list, he was ranked number two in the world and had an Elo rating of 2830, making him the fourth highest rated player in history.
Aronian won the Chess World Cup 2005. He led the Armenian national team to the Gold medals in the 2006 (Turin), 2008 (Dresden) and 2012 (Istanbul) Chess Olympics and at the World Team Chess Championship in Ningbo 2011. He won the FIDE Grand Prix 2008–2010, qualifying him for the Candidates tournament for the World Chess Championship 2012, where he was knocked out in the first round. He was also World Chess960 Champion in 2006 and 2007, World Rapid Chess Champion in 2009, and World Blitz Chess Champion in 2010. In 2015, he won the 3rd Annual Sinquefield Cup.
Aronian has been the leading Armenian chess player since the early 2000s. His popularity in Armenia has led to him being called a celebrity, and a hero. He was named the best sportsman of Armenia in 2005 and was awarded the title of Honoured Master of Sport of the Republic of Armenia in 2009.",Levon Aronian
12,"Maurice Ashley, 414 games",Maurice Ashley,Ashley.pgn,Ashley,Maurice,Ashley,Maurice,Maurice Ashley ,1966-03-06,,1999-01-01, United States,,Maurice+Ashley+chess,https://en.wikipedia.org/w/index.php?search=Maurice+Ashley+chess,"['Maurice Ashley', 'Maurice Ashley (historian)', 'Maurice Ashley (MP)', 'Maurice Ashley (disambiguation)', 'Ashley (name)', 'Alicia Ashley', 'Ashley, New Forest', 'Frederick Denison Maurice', 'Anthony Ashley Cooper, 1st Earl of Shaftesbury', 'Maurice J. Summerfield']",Maurice Ashley,https://en.wikipedia.org/wiki/Maurice_Ashley,"Maurice Ashley (born March 6, 1966) is a Jamaican American chess grandmaster, author, commentator, app designer, puzzle inventor, and motivational speaker. In 1992, Ashley shared the United States Game/10 chess championship with Maxim Dlugy. Fédération Internationale des Échecs or World Chess Federation (FIDE) awarded him the grandmaster title in 1999, making him the world's first Jamaican chess International Grandmaster. Ashley is well known as a commentator for high-profile chess events. He also spent many years teaching chess. On April 13, 2016, GM Ashley was inducted into the US Chess Hall of Fame along with Chess Grandmaster Gata Kamsky.",Maurice Ashley
13,"Yuri Averbakh, 885 games",Yuri Averbakh,Averbakh.pgn,Averbakh,Yuri,Averbakh,Yuri,Yuri Averbakh,1922-02-08,,1952-01-01, Russia,,Yuri+Averbakh+chess,https://en.wikipedia.org/w/index.php?search=Yuri+Averbakh+chess,"['Yuri Averbakh', 'Vitaly Chekhover', 'Chess endgame literature', 'Shakhmaty v SSSR', 'Shakhmatny Bulletin', 'World Chess Championship 1951', 'International Judge of Chess Compositions', 'International Arbiter', 'List of Honoured Masters of Sport of the USSR in chess', 'Chess theory']",Yuri Averbakh,https://en.wikipedia.org/wiki/Yuri_Averbakh,"Yuri Lvovich Averbakh (Russian: Ю́рий Льво́вич Аверба́х; born February 8, 1922) is a Soviet and Russian chess player and author. As of 2017, he is the oldest living chess grandmaster. He was born in Kaluga, Russia. He was chairman of the USSR Chess Federation from 1973 to 1978.",Yuri Averbakh
14,"Zurab Azmaiparashvili, 1324 games",Zurab Azmaiparashvili,Azmaiparashvili.pgn,Azmaiparashvili,Zurab,Azmaiparashvili,Zurab,Zurab Azmaiparashvili ,1960-05-16,,1988-01-01, Georgia,,Zurab+Azmaiparashvili+chess,https://en.wikipedia.org/w/index.php?search=Zurab+Azmaiparashvili+chess,"['Zurab Azmaiparashvili', 'Zurab', 'European Chess Union', 'Saidali Iuldachev', 'Ivan Sokolov (chess player)', 'European Individual Chess Championship', 'Index of Georgia (country)-related articles', 'Alexander Chernin', '36th Chess Olympiad', 'Chess World Cup 2000']",Zurab Azmaiparashvili,https://en.wikipedia.org/wiki/Zurab_Azmaiparashvili,"Zurab Azmaiparashvili (Georgian: ზურაბ აზმაიფარაშვილი; born 16 March 1960) is a chess Grandmaster from Georgia. In the September 2010 FIDE list, he has an Elo rating of 2637, making him 114th in the world and Georgia's number two.",Zurab Azmaiparashvili
15,"Etienne Bacrot, 2536 games",Etienne Bacrot,Bacrot.pgn,Bacrot,Etienne,Bacrot,Etienne,Étienne Bacrot ,1983-01-22,,1997-01-01, France,,Etienne+Bacrot+chess,https://en.wikipedia.org/w/index.php?search=Etienne+Bacrot+chess,"['Étienne Bacrot', 'Sébastien Mazé', 'Étienne', 'Darwin Laylo', 'Joël Lautier', 'Chess World Cup 2005', 'French Chess Championship', 'FIDE Grand Prix 2012–13', 'Mihhail Rõtšagov', 'Stanley Chumfwa']",Étienne Bacrot,https://en.wikipedia.org/wiki/%C3%89tienne_Bacrot,"Étienne Bacrot (French pronunciation: ​[etjɛn baˈkʁo]; born 22 January 1983 in Lille) is a French chess grandmaster and former chess prodigy.
He competed at the Candidates Matches in 2007 and won the Aeroflot Open in 2009. He passed 2700 FIDE rating in 2004 and in January 2005 he became the first French player to enter the top 10.
Bacrot won individual bronze medal at the 37th Chess Olympiad in 2006 for his performance on board one, as well as four medals at the World Team Championships.",Étienne Bacrot
16,"Evgeny Bareev, 1868 games",Evgeny Bareev,Bareev.pgn,Bareev,Evgeny,Bareev,Evgeny,Evgeny Bareev ,1966-11-21,,1989-01-01, Canada,,Evgeny+Bareev+chess,https://en.wikipedia.org/w/index.php?search=Evgeny+Bareev+chess,"['Evgeny Bareev', 'Chess World Cup 2000', 'Konstantin Chernyshov', 'Alexandre Lesiège', 'Chess World Cup 2005', 'Chess World Cup 2007', '2001 in chess', '2002 in chess', 'Yang Kaiqi', 'Vladimir Malaniuk']",Evgeny Bareev,https://en.wikipedia.org/wiki/Evgeny_Bareev,"Evgeny Ilgizovich Bareev (Russian: Евгений Ильгизович Бареев; born 21 November 1966 in Yemanzhelinsk) is a Russian (until 2015) and Canadian (since 2015) chess grandmaster and coach. In October 2003, he was ranked fourth in the FIDE World Rankings, with an Elo rating of 2739.
In September 2015, Bareev transferred to the Canadian Chess Federation.",Evgeny Bareev
17,"Julio Becerra Rivero, 1027 games",Julio Becerra Rivero,BecerraRivero.pgn,BecerraRivero,Julio,Becerra Rivero,Julio,Julio Becerra ,1973-10-15,,1997-01-01, United States,,Julio+Becerra+Rivero+chess,https://en.wikipedia.org/w/index.php?search=Julio+Becerra+Rivero+chess,"['Julio Becerra Rivero', 'Apuesta por un amor', 'Zacatillo, un lugar en tu corazón', 'Ponziani Opening', 'Vinay Bhat', 'José Julio Gaona', 'Julio Carrasco Bretón', 'Atlético Chalaco', 'Celso Zubire', 'FIDE World Chess Championship 1999']",Julio Becerra Rivero,https://en.wikipedia.org/wiki/Julio_Becerra_Rivero,"Julio Becerra Rivero (born 1973) is a Cuban-born American chess Grandmaster who lives in Miami Lakes, Florida. Julio Becerra grew up in Cuba and learned to play chess when he was thirteen years old. He became a grandmaster at the age of 23 in 1997. Julio Becerra won the Cuban Chess Championship in 1996 and 1998 and played in the Chess Olympiads of 1994, 1996 and 1998. He stayed in the U.S. in 1999, after playing in the FIDE World Chess Championship 1999 in Las Vegas. He moved to Miami in 2005. He was MVP in the U.S. Chess League in 2006. He became the Florida Champion in 2006, and held that title through 2009. He won his 8th Florida Championship in 2016. Julio Becerra is a chess teacher and still an active tournament player in southeastern Florida. He plays for the Miami Sharks in the U.S. Chess League.
As a user of chess.com, Becerra was noticed by many for his willingness to play games against people considerably weaker than himself, thus giving many amateur players the chance to play against a grandmaster. As a result of this, a fan club was set up in his honor.",Julio Becerra Rivero
18,"Alexander Beliavsky, 3070 games",Alexander Beliavsky,Beliavsky.pgn,Beliavsky,Alexander,Beliavsky,Alexander,Alexander Beliavsky ,1953-12-17,,1975-01-01, Slovenia,,Alexander+Beliavsky+chess,https://en.wikipedia.org/w/index.php?search=Alexander+Beliavsky+chess,"['Alexander Beliavsky', 'Aleksandr Belyavsky', 'Duško Pavasovič', 'USSR Chess Championship', '1990 in chess', 'Constantin Lupulescu', 'Valery Salov', 'Roman Pelts', 'Alexey Vyzmanavin', 'Polygon (film)']",Alexander Beliavsky,https://en.wikipedia.org/wiki/Alexander_Beliavsky,"Alexander Genrikhovich Beliavsky (Russian: Алекса́ндр Ге́нрихович Беля́вский; also Romanized Belyavsky; born December 17, 1953) is a Soviet, Ukrainian and Slovenian chess grandmaster.
Beliavsky was born in Lviv, USSR, now Ukraine. Since 1994, he lives in Slovenia and he plays for the Olympic team there. He is noted for his uncompromising style of play and for his classical opening repertoire, including openings such as the Queen's Gambit, Ruy Lopez, French Defence and the Two Knights Defence.

",Alexander Beliavsky
19,"Joel Benjamin, 1664 games",Joel Benjamin,Benjamin.pgn,Benjamin,Joel,Benjamin,Joel,Joel Benjamin ,1964-03-11,,1986-01-01, United States,,Joel+Benjamin+chess,https://en.wikipedia.org/w/index.php?search=Joel+Benjamin+chess,"['Joel Benjamin', 'Joel Benjamin (singer)', 'Joel Goonan', 'Joel Werner', 'Joel (given name)', 'Benjamin (name)', 'Joel Grey', 'Benjamin Orr', 'Joel Houston', 'Joel White']",Joel Benjamin,https://en.wikipedia.org/wiki/Joel_Benjamin,"Joel Benjamin (born March 11, 1964) is an American chess Grandmaster. In 1998, he was voted ""Grandmaster of the Year"" by the U.S. Chess Federation. As of October 2012, his Elo rating was 2530, making him the No. 37 player in the U.S. and the 620th-highest rated player in the world.",Joel Benjamin
20,"Pal Benko, 1376 games",Pal Benko,Benko.pgn,Benko,Pal,Benko,Pal,Pal Benko,1928-07-15,,1958-01-01, United States,,Pal+Benko+chess,https://en.wikipedia.org/w/index.php?search=Pal+Benko+chess,"['Pal Benko', 'Benko', 'Benko Gambit', ""King's Fianchetto Opening"", 'Ed Edmondson (chess official)', 'Burt Hochberg', 'Basic Chess Endings', 'Herbert Seidman', 'Dallas 1957 chess tournament', 'World Chess Championship 1963']",Pal Benko,https://en.wikipedia.org/wiki/Pal_Benko,"Pal Benko (Hungarian: Benkő Pál; born July 14, 1928) is a chess grandmaster, author, and composer of endgame studies and chess problems.",Pal Benko
21,"Hans Berliner, 64 games",Hans Berliner,Berliner.pgn,Berliner,Hans,Berliner,,,,,,,,Hans+Berliner+chess,https://en.wikipedia.org/w/index.php?search=Hans+Berliner+chess,"['Hans Berliner', 'Berliner (surname)', 'Berliner Verkehrsbetriebe', 'Berliner Börsen-Courier', 'Berliner Tageblatt', 'Berliner SV 1892', 'Berliner AK 07', 'Berliner Zeitung', 'Berlin Philharmonic', 'Hans Lachmann-Mosse']",Hans Berliner,https://en.wikipedia.org/wiki/Hans_Berliner,"Hans Jack Berliner (January 27, 1929 – January 13, 2017) was a Professor of Computer Science at Carnegie Mellon University, and was the World Correspondence Chess Champion, from 1965–68. He was a Grandmaster of Correspondence Chess and an International Master for over-the-board chess. He directed the construction of the chess computer HiTech, and was also a published chess writer.",Hans Berliner
22,"Ossip Bernstein, 261 games",Ossip Bernstein,Bernstein.pgn,Bernstein,Ossip,Bernstein,Ossip,Ossip Bernstein,1882-10-02,1962-11-30,1950-01-01, France,,Ossip+Bernstein+chess,https://en.wikipedia.org/w/index.php?search=Ossip+Bernstein+chess,"['Ossip Bernstein', 'Ossip', 'Bernstein', '1918 in chess', 'Sven Otto Svensson', 'Oldřich Duras', 'Franz G. Jacob', 'Berlin City Chess Championship', 'Walter John', 'Moritz Billecard']",Ossip Bernstein,https://en.wikipedia.org/wiki/Ossip_Bernstein,Ossip Samoilovich Bernstein (20 September 1882 – 30 November 1962) was a Russian-French chess grandmaster and a financial lawyer.,Ossip Bernstein
23,"Henry Bird, 353 games",Henry Bird,Bird.pgn,Bird,Henry,Bird,,,,,,,,Henry+Bird+chess,https://en.wikipedia.org/w/index.php?search=Henry+Bird+chess,"['Henry Bird', 'Henry Bird (chess player)', 'Henry Bird (artist)', 'Henry Bird Steinhauer', 'Henry Bird (cricketer)', 'Henry Real Bird', 'Cyril Golding-Bird', 'Bird', 'Bird (surname)', 'George Bird (coffee planter)']",Henry Bird,https://en.wikipedia.org/wiki/Henry_Bird_(chess_player),"Henry Edward Bird (Portsea in Hampshire, 14 July 1829 – 11 April 1908) was an English chess player, and also an author and accountant. He wrote a book titled Chess History and Reminiscences, and another titled An Analysis of Railways in the United Kingdom.
Although Bird was a practicing accountant, not a professional chess player, it has been said that he ""lived for chess, and would play anybody anywhere, any time, under any conditions.""",Henry Bird (chess player)
24,"Arthur Bisguier, 1186 games",Arthur Bisguier,Bisguier.pgn,Bisguier,Arthur,Bisguier,Arthur,Arthur Bisguier,1929-10-08,2017-04-05,1957-01-01, United States,,Arthur+Bisguier+chess,https://en.wikipedia.org/w/index.php?search=Arthur+Bisguier+chess,"['Arthur Bisguier', 'Haukur Angantýsson', 'Herbert Seidman', 'Allen Kaufman', 'John Curdo', 'S. Lipschütz', 'Bruno Parma', 'James Mason (chess player)', 'Curt Brasket', 'Povilas Tautvaišas']",Arthur Bisguier,https://en.wikipedia.org/wiki/Arthur_Bisguier,"Arthur Bernard Bisguier (October 8, 1929 – April 5, 2017) was an American chess grandmaster, chess promoter, and writer.
Bisguier has won two U.S. Junior Championships (1948, 1949), three U.S. Open Chess Championship titles (1950, 1956, 1959), and the 1954 United States Chess Championship title. He played for the United States in five chess Olympiads. He also played in two Interzonal tournaments (1955, 1962).
On March 18, 2005, the United States Chess Federation (USCF) proclaimed him ""Dean of American Chess"".",Arthur Bisguier
25,"Joseph Blackburne, 738 games",Joseph Blackburne,Blackburne.pgn,Blackburne,Joseph,Blackburne,,,,,,,,Joseph+Blackburne+chess,https://en.wikipedia.org/w/index.php?search=Joseph+Blackburne+chess,"['Joseph Henry Blackburne', 'Blackburne (name)', 'Joseph Blackburn', 'Italian Game, Blackburne Shilling Gambit', 'Francis Blackburne', 'Francis Blackburne (priest)', 'Lancelot Blackburne', 'Carl Friedrich Schmid', 'Adolf Schwarz', 'George Alcock MacDonnell']",Joseph Henry Blackburne,https://en.wikipedia.org/wiki/Joseph_Henry_Blackburne,"Joseph Henry Blackburne (10 December 1841 – 1 September 1924), nicknamed ""The Black Death"", dominated British chess during the latter part of the 19th century. He learned the game at the relatively late age of 18 but quickly became a strong player and went on to develop a professional chess career that spanned over 50 years. At one point he was the world's second most successful player, with a string of tournament victories behind him, and popularised chess by giving simultaneous and blindfold displays around the country. Blackburne also published a collection of his own games.",Joseph Henry Blackburne
